contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
NVDA260710P00050000,2026-06-01 19:44:15+00:00,50.0,0.01,0.0,0.0,0.0,0.0,,0.0,0.500005,False,REGULAR,USD
NVDA260710P00055000,2026-06-01 19:44:15+00:00,55.0,0.01,0.0,0.0,0.0,0.0,,0.0,0.500005,False,REGULAR,USD
NVDA260710P00060000,2026-06-17 19:21:03+00:00,60.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00065000,2026-06-29 19:54:05+00:00,65.0,0.01,0.0,0.0,0.0,0.0,,0.0,0.500005,False,REGULAR,USD
NVDA260710P00070000,2026-06-29 19:54:42+00:00,70.0,0.01,0.0,0.0,0.0,0.0,1268.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00075000,2026-07-07 19:38:01+00:00,75.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00080000,2026-06-29 19:54:05+00:00,80.0,0.01,0.0,0.0,0.0,0.0,2550.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00085000,2026-06-29 19:52:49+00:00,85.0,0.01,0.0,0.0,0.0,0.0,3800.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00090000,2026-07-02 16:34:11+00:00,90.0,0.01,0.0,0.0,0.0,0.0,87.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00095000,2026-07-09 17:47:52+00:00,95.0,0.01,0.0,0.0,0.0,0.0,3.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00100000,2026-07-09 14:07:15+00:00,100.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00105000,2026-07-07 13:30:04+00:00,105.0,0.01,0.0,0.0,0.0,0.0,2.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00110000,2026-07-08 18:47:47+00:00,110.0,0.01,0.0,0.0,0.0,0.0,3.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00115000,2026-07-06 13:30:06+00:00,115.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00120000,2026-07-07 18:14:50+00:00,120.0,0.01,0.0,0.0,0.0,0.0,15.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00125000,2026-07-06 15:40:22+00:00,125.0,0.01,0.0,0.0,0.0,0.0,31.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00130000,2026-07-07 13:51:10+00:00,130.0,0.01,0.0,0.0,0.0,0.0,20.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00135000,2026-07-07 18:12:51+00:00,135.0,0.01,0.0,0.0,0.0,0.0,183.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00140000,2026-07-08 19:40:29+00:00,140.0,0.01,0.0,0.0,0.0,0.0,15.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00145000,2026-07-08 19:40:05+00:00,145.0,0.01,0.0,0.0,0.0,0.0,30.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00150000,2026-07-09 16:19:08+00:00,150.0,0.01,0.0,0.0,0.0,0.0,17.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00155000,2026-07-09 19:42:32+00:00,155.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00160000,2026-07-09 19:43:38+00:00,160.0,0.01,0.0,0.0,0.0,0.0,61.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00165000,2026-07-09 19:54:30+00:00,165.0,0.01,0.0,0.0,0.0,0.0,72.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00167500,2026-07-09 18:19:58+00:00,167.5,0.01,0.0,0.0,0.0,0.0,286.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00170000,2026-07-09 19:59:29+00:00,170.0,0.01,0.0,0.0,0.0,0.0,443.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00172500,2026-07-09 19:53:49+00:00,172.5,0.01,0.0,0.0,0.0,0.0,595.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00175000,2026-07-09 19:56:38+00:00,175.0,0.01,0.0,0.0,0.0,0.0,4129.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00177500,2026-07-09 19:58:42+00:00,177.5,0.02,0.0,0.0,0.0,0.0,2972.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00180000,2026-07-09 19:58:57+00:00,180.0,0.01,0.0,0.0,0.0,0.0,5569.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00182500,2026-07-09 19:59:20+00:00,182.5,0.03,0.0,0.0,0.0,0.0,2569.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00185000,2026-07-09 19:58:59+00:00,185.0,0.03,0.0,0.0,0.0,0.0,7521.0,0.0,0.500005,False,REGULAR,USD
NVDA260710P00187500,2026-07-09 19:59:48+00:00,187.5,0.04,0.0,0.0,0.0,0.0,4962.0,0.0,0.2500075,False,REGULAR,USD
NVDA260710P00190000,2026-07-09 19:59:48+00:00,190.0,0.06,0.0,0.0,0.0,0.0,25357.0,0.0,0.2500075,False,REGULAR,USD
NVDA260710P00192500,2026-07-09 19:59:59+00:00,192.5,0.09,0.0,0.0,0.0,0.0,17115.0,0.0,0.2500075,False,REGULAR,USD
NVDA260710P00195000,2026-07-09 19:59:57+00:00,195.0,0.17,0.0,0.0,0.0,0.0,59755.0,0.0,0.12500875,False,REGULAR,USD
NVDA260710P00197500,2026-07-09 19:59:55+00:00,197.5,0.35,0.0,0.0,0.0,0.0,89618.0,0.0,0.12500875,False,REGULAR,USD
NVDA260710P00200000,2026-07-09 19:59:59+00:00,200.0,0.75,0.0,0.0,0.0,0.0,125133.0,0.0,0.062509375,False,REGULAR,USD
NVDA260710P00202500,2026-07-09 19:59:57+00:00,202.5,1.6,0.0,0.0,0.0,0.0,66204.0,0.0,0.007822421875,False,REGULAR,USD
NVDA260710P00205000,2026-07-09 19:59:54+00:00,205.0,3.0,0.0,0.0,0.0,0.0,18926.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710P00207500,2026-07-09 19:59:57+00:00,207.5,5.03,0.0,0.0,0.0,0.0,7270.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710P00210000,2026-07-09 19:59:59+00:00,210.0,7.3,0.0,0.0,0.0,0.0,5808.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710P00212500,2026-07-09 19:59:48+00:00,212.5,9.73,0.0,0.0,0.0,0.0,6505.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710P00215000,2026-07-09 19:59:51+00:00,215.0,12.36,0.0,0.0,0.0,0.0,2957.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710P00217500,2026-07-09 19:41:34+00:00,217.5,13.59,0.0,0.0,0.0,0.0,545.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710P00220000,2026-07-09 19:23:36+00:00,220.0,15.6,0.0,0.0,0.0,0.0,1377.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710P00222500,2026-07-09 19:23:36+00:00,222.5,18.15,0.0,0.0,0.0,0.0,25.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710P00225000,2026-07-09 19:23:36+00:00,225.0,20.65,0.0,0.0,0.0,0.0,20.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710P00227500,2026-07-09 15:45:25+00:00,227.5,26.19,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710P00230000,2026-07-09 17:54:23+00:00,230.0,26.6,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710P00232500,2026-07-09 19:23:36+00:00,232.5,28.25,0.0,0.0,0.0,0.0,13.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710P00235000,2026-07-09 19:19:47+00:00,235.0,30.85,0.0,0.0,0.0,0.0,6.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710P00240000,2026-07-09 19:12:47+00:00,240.0,36.55,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710P00245000,2026-07-08 19:51:11+00:00,245.0,40.91,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710P00250000,2026-07-09 19:12:55+00:00,250.0,46.2,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710P00255000,2026-06-08 15:49:34+00:00,255.0,46.35,0.0,0.0,0.0,0.0,50.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710P00260000,2026-06-02 14:20:21+00:00,260.0,33.6,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710P00265000,2026-06-04 13:55:08+00:00,265.0,52.8,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710P00275000,2026-06-11 14:58:54+00:00,275.0,75.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710P00280000,2026-06-02 17:07:16+00:00,280.0,55.65,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710P00305000,2026-07-07 16:12:35+00:00,305.0,109.47,0.0,0.0,0.0,0.0,,,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710P00310000,2026-07-07 16:12:35+00:00,310.0,114.47,0.0,0.0,0.0,0.0,,,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710P00380000,2026-06-30 15:53:19+00:00,380.0,181.46,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD
